# SAP S/4HANA - Transaction DB13 (Database Backup)
# Report:   SAP HANA Backup Detail Log (per component per phase)
# Source:   HANA backint + DBACOCKPIT backup catalog
# Period:   FY2025 sampled 25 days
# Export:   2026-02-19 08:00:00 JST

タイムスタンプ,バックアップID,バックアップ種別,コンポーネント,システム,コンポーネント名,フェーズ,サイズGB,所要秒数,ログメッセージ,実行ユーザ
2026-02-18 02:33:00,BK_20260218_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2026-02-18 02:51:00,BK_20260218_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,212.9,1080,Log Volume backup completed successfully,SAP_BASIS
2026-02-18 02:52:00,BK_20260218_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2026-02-18 02:57:00,BK_20260218_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,4.6,300,Backup Catalog backup completed successfully,SAP_BASIS
2026-02-18 02:58:00,BK_20260218_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2026-03-01 01:00:00,BK_20260301_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2026-03-01 01:02:00,BK_20260301_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2026-03-01 02:32:00,BK_20260301_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1672.3,5400,Data Volume backup completed successfully,SAP_BASIS
2026-03-01 02:33:00,BK_20260301_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2026-03-01 02:54:00,BK_20260301_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,271.6,1260,Log Volume backup completed successfully,SAP_BASIS
2026-03-01 02:55:00,BK_20260301_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2026-03-01 03:01:00,BK_20260301_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.4,360,Backup Catalog backup completed successfully,SAP_BASIS
2026-03-01 03:02:00,BK_20260301_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2026-04-06 01:03:00,BK_20260406_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2026-04-06 01:05:00,BK_20260406_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2026-04-06 02:42:00,BK_20260406_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1791.8,5820,Data Volume backup completed successfully,SAP_BASIS
2026-04-06 02:43:00,BK_20260406_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2026-04-06 02:58:00,BK_20260406_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,206.2,900,Log Volume backup completed successfully,SAP_BASIS
2026-04-06 02:59:00,BK_20260406_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2026-04-06 03:05:00,BK_20260406_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.6,360,Backup Catalog backup completed successfully,SAP_BASIS
2026-04-06 03:06:00,BK_20260406_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS

# Records: 200 (25 days x 8 events: START + 3 components x 2 phases + END)
